ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11224222,JB143103,2/1/18 17:40,0000X W ERIE ST,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,FALSE,FALSE,1832,18,42,8,26,1176142,1904776,2018,2/8/18 15:51,41.89406678,-87.62853174,"(41.894066784, -87.628531735)"
11224195,JB142820,2/1/18 13:51,090XX S BENNETT AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,413,4,8,48,11,1190423,1845439,2018,2/8/18 15:51,41.73090868,-87.57799863,"(41.730908683, -87.577998631)"
11224194,JB141836,2/1/18 15:15,071XX S WESTERN AVE,460,BATTERY,SIMPLE,CTA BUS,FALSE,FALSE,832,8,18,66,08B,,,2018,2/8/18 15:51,,,
11224170,JB143057,2/1/18 12:00,052XX W MADISON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,FALSE,1522,15,29,25,26,1141233,1899517,2018,2/8/18 15:51,41.88035077,-87.75687206,"(41.880350767, -87.756872059)"
11224129,JB142830,2/1/18 10:00,009XX N LOCKWOOD AVE,850,THEFT,ATTEMPT THEFT,STREET,FALSE,FALSE,1524,15,37,25,6,1140853,1905721,2018,2/8/18 15:51,41.8973823,-87.75811469,"(41.897382302, -87.758114689)"
11224053,JB142827,2/1/18 10:00,048XX S KARLOV AVE,2018,NARCOTICS,MANU/DELIVER:SYNTHETIC DRUGS,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,815,8,14,57,18,1149843,1872271,2018,2/8/18 15:51,41.80542118,-87.72596423,"(41.805421178, -87.725964232)"
11224043,JB142863,2/1/18 10:00,0000X W HUBBARD ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,FALSE,FALSE,1831,18,42,8,11,1176004,1903310,2018,2/8/18 15:51,41.89004711,-87.62908275,"(41.890047113, -87.629082751)"
11223803,JB137771,2/1/18 16:30,034XX S ARCHER AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,912,9,11,59,6,1163693,1882088,2018,2/8/18 15:51,41.83208034,-87.67489182,"(41.832080335, -87.674891815)"
11223724,JB142333,2/1/18 23:00,045XX S LAPORTE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,814,8,23,56,26,1144120,1874099,2018,2/8/18 15:51,41.81054656,-87.74690847,"(41.810546558, -87.74690847)"
11223715,JB141834,2/1/18 7:25,034XX N HAMILTON AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1921,19,32,5,6,1161417,1922788,2018,2/8/18 15:51,41.94381215,-87.68210945,"(41.943812152, -87.682109448)"
11223672,JB142094,2/1/18 11:30,062XX S KIMBARK AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,TRUE,314,3,20,42,20,1185712,1863975,2018,2/8/18 15:51,41.78188541,-87.59467341,"(41.781885411, -87.594673414)"
11223530,JB142096,2/1/18 13:00,043XX S WOOD ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,924,9,12,61,11,1165075,1875896,2018,2/8/18 15:51,41.81505963,-87.66999649,"(41.815059634, -87.669996488)"
11223521,JB141087,2/1/18 13:45,132XX S RIVERDALE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,TRUE,533,5,9,54,6,1181887,1817454,2018,2/8/18 15:51,41.65431533,-87.61012938,"(41.65431533, -87.610129375)"
11223490,JB141819,2/1/18 11:00,058XX N LINCOLN AVE,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2011,20,40,2,08A,1155809,1938617,2018,2/8/18 15:51,41.98736291,-87.7022934,"(41.987362912, -87.702293402)"
11223433,JB141823,2/1/18 8:00,092XX S BLACKSTONE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,413,4,8,48,08B,1187728,1844037,2018,2/8/18 15:51,41.72712592,-87.58791569,"(41.727125922, -87.587915691)"
11223185,JB139011,2/1/18 17:20,017XX N LAKE SHORE DR SB,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1814,18,43,7,14,1176583,1911843,2018,2/8/18 15:51,41.913449,-87.6266983,"(41.913449001, -87.626698302)"
11222953,JB141237,2/1/18 15:15,044XX N BROADWAY,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,1914,19,46,3,6,1168513,1929771,2018,2/8/18 15:51,41.96282288,-87.65582506,"(41.962822877, -87.655825058)"
11222896,JB141155,2/1/18 8:00,023XX N MEADE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,2512,25,29,19,14,1135351,1914844,2018,2/8/18 15:51,41.92251638,-87.77810626,"(41.922516379, -87.778106256)"
11222803,JB140136,2/1/18 23:00,052XX S LAFLIN ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,934,9,16,61,6,1167227,1869959,2018,2/8/18 15:51,41.79872198,-87.66227267,"(41.798721983, -87.66227267)"
11222711,JB140800,2/1/18 16:00,016XX W MADISON ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1224,12,2,28,6,1165476,1900090,2018,2/8/18 15:51,41.88144179,-87.66783781,"(41.881441785, -87.667837814)"
11222280,JB138179,2/1/18 23:00,005XX E 115TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,531,5,9,50,08B,,,2018,2/8/18 15:51,,,
11222214,JB140211,2/1/18 20:00,004XX N ORLEANS ST,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1831,18,42,8,6,1173850,1903341,2018,2/8/18 15:51,41.89018042,-87.63699221,"(41.890180418, -87.636992207)"
11222068,JB140017,2/1/18 15:15,007XX S WELLS ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,123,1,2,32,26,1174826,1897096,2018,2/8/18 15:51,41.87302197,-87.63359492,"(41.873021973, -87.633594919)"
11222065,JB140010,2/1/18 16:30,005XX N LAKE SHORE DR,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE-GARAGE,FALSE,FALSE,1834,18,42,8,14,1180009,1903803,2018,2/8/18 15:51,41.89130879,-87.61435961,"(41.891308785, -87.614359614)"
11222053,JB138813,2/1/18 14:00,023XX N HAMLIN AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2525,25,35,22,6,,,2018,2/8/18 15:51,,,
11222034,JB139711,2/1/18 10:00,090XX S KINGSTON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,423,4,7,48,11,1194733,1845473,2018,2/8/18 15:51,41.73089711,-87.56220878,"(41.730897108, -87.562208778)"
11221984,JB138963,2/1/18 21:30,054XX S RIDGEWAY AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,STREET,FALSE,FALSE,822,8,23,62,26,1152296,1868374,2018,2/8/18 15:51,41.79467932,-87.71706998,"(41.794679324, -87.717069982)"
11221909,JB138761,2/1/18 22:34,011XX W LOYOLA AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,"SCHOOL, PRIVATE, BUILDING",FALSE,FALSE,2432,24,49,1,26,1167433,1943876,2018,2/8/18 15:51,42.00155074,-87.65938775,"(42.001550738, -87.659387754)"
11221893,JB139805,2/1/18 14:38,0000X N STATE ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,112,1,42,32,6,1176364,1900524,2018,2/8/18 15:51,41.88239406,-87.6278448,"(41.882394062, -87.627844798)"
11221874,JB139742,2/1/18 14:38,0000X N STATE ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,112,1,42,32,6,1176364,1900524,2018,2/8/18 15:51,41.88239406,-87.6278448,"(41.882394062, -87.627844798)"
11221862,JB138629,2/1/18 22:30,037XX W MYRICK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,833,8,18,70,14,1152445,1852093,2018,2/8/18 15:51,41.74999875,-87.71695148,"(41.749998751, -87.716951479)"
11221843,JB139628,2/1/18 5:00,015XX W 119TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,524,5,34,53,26,1168304,1825817,2018,2/8/18 15:51,41.67756687,-87.65959037,"(41.677566865, -87.65959037)"
11221821,JB138050,2/1/18 19:45,074XX S JEFFERY BLVD,650,BURGLARY,HOME INVASION,APARTMENT,FALSE,FALSE,333,3,5,43,5,,,2018,2/8/18 15:51,,,
11221797,JB139589,2/1/18 9:00,001XX E 118TH PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,532,5,9,53,26,1179241,1826421,2018,2/8/18 15:51,41.67898268,-87.61953928,"(41.678982676, -87.619539284)"
11221796,JB139595,2/1/18 8:45,109XX S LONGWOOD DR,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,TRUE,2212,22,19,75,26,1164976,1832164,2018,2/8/18 15:51,41.69505491,-87.67159351,"(41.695054912, -87.67159351)"
11221783,JB138137,2/1/18 22:48,011XX W 63RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,712,7,16,68,14,,,2018,2/8/18 15:51,,,
11221695,JB138147,2/1/18 23:11,004XX N PAULINA ST,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,1215,12,27,24,3,,,2018,2/8/18 15:51,,,
